time,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
2.230975,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.241810,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.250193,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.260376,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.269818,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.280555,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.289969,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.300050,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.309996,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.320005,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.329981,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.339985,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.349981,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.359923,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.370559,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.381254,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.390007,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.399860,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.409863,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.419822,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.430051,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.440223,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.449807,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.459996,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.470080,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.479992,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.489830,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.499879,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.510001,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.521807,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.530034,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.540006,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.550063,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.559984,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.570089,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.580493,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.590237,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.599986,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.610736,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.620011,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.630083,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
2.640272,0.201075185,-0.893034526,-0.231532379,-2.035480797,-0.190277156,1.156460456,-0.026595028
